Designator,Mid X,Mid Y,Rotation,Layer
R67,84.955291,-95.390582,0.0,bottom
R68,85.455291,-92.490582,0.0,bottom
R69,85.465291,-90.660582,0.0,bottom
R7,89.510771,-83.433976,0.0,top
R70,85.445291,-88.880582,0.0,bottom
R71,85.475291,-87.120582,0.0,bottom
R72,86.703,-81.118,180.0,top
R73,88.726159,-86.579723,90.0,top
R74,90.006159,-86.579723,90.0,top
R75,89.470771,-84.603976,0.0,top
R76,97.670771,-77.293976,180.0,top
R77,97.650771,-78.543976,180.0,top
R78,91.773181,-78.27257,90.0,top
R79,89.540771,-78.733976,0.0,top
R8,96.195771,-107.863976,180.0,top
R80,98.220771,-89.403976,180.0,top
R81,95.317966,-91.17099,0.0,top
R82,95.317966,-92.62099,0.0,top
R83,91.64391,-92.607291,180.0,top
R84,91.639853,-91.15798,180.0,top
R85,89.540771,-81.073976,0.0,top
R86,89.530771,-79.893976,0.0,top
R9,96.145771,-109.853976,0.0,top
SW1,116.608,-70.328,270.0,bottom
SW2,116.753,-79.598,270.0,bottom
U1,125.3425,-113.5175,0.0,bottom
U2,93.725771,-96.636476,0.0,top
U3,108.388,-97.4695,180.0,top
U4,95.722161,-52.659087,0.0,top
U5,99.802058,-98.269431,90.0,bottom
U6,94.170057,-80.481131,0.0,bottom
U7,106.602557,-80.471131,180.0,bottom
U8,93.840771,-82.773976,180.0,top
U9,101.700771,-104.688226,90.0,top
Y1,91.76,-97.93,90.0,bottom
Y2,103.610771,-82.893976,270.0,top
